Sat Nov 23 22:47:16 2024    /Users/haydentedrake/Desktop/UROP2024/pbh_mass/output.prof

         7689405 function calls (7644922 primitive calls) in 21.312 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:42(__init__)
    699/7    0.003    0.000   13.774    1.968 <frozen importlib._bootstrap>:911(_load_unlocked)
      612    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      114    0.003    0.000    0.120    0.001 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1600(pprint_setters)
     6199    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     4144    0.003    0.000    0.006    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/artist.py:1557(aliased_name)
    10296    0.003    0.000    0.006    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/__init__.py:745(__getitem__)
     8082    0.003    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/enum.py:726(__call__)
       50    0.003    0.000    0.007    0.000 /opt/anaconda3/lib/python3.12/collections/__init__.py:355(namedtuple)
      831    0.003    0.000    0.005    0.000 /opt/anaconda3/lib/python3.12/functools.py:35(update_wrapper)
     2966    0.003    0.000    0.008    0.000 /opt/anaconda3/lib/python3.12/copy.py:61(copy)
      437    0.002    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/enum.py:254(__set_name__)
      109    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      693    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      282    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/site-packages/numpy/lib/shape_base.py:612(column_stack)
    11557    0.002    0.000    0.004    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:261(get)
     5924    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
2208/2206    0.002    0.000    0.044    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/cbook.py:285(process)
  1393/39    0.002    0.000    0.035    0.001 /opt/anaconda3/lib/python3.12/site-packages/pyparsing/core.py:811(_parseNoCache)
3521/1530    0.002    0.000    0.046    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/_api/deprecation.py:292(wrapper)
 2165/470    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/re/_parser.py:178(getwidth)
        3    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
     4733    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
    33075    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      720    0.002    0.000    0.202    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.002    0.002    0.003    0.003 /opt/anaconda3/lib/python3.12/site-packages/scipy/constants/_codata.py:1514(parse_constants_2018toXXXX)
      950    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.12/site-packages/matplotlib/transforms.py:182(set_children)
     5574    0.002    0.000    0.028    0.000 /opt/anaconda3/lib/python3.12/re/__init__.py:174(search)
    11383    0.002    0.000    0.003    0.000 /opt/anaconda3/lib/python3.12/logging/__init__.py:1517(debug)
